0,1,2,3
,PHẢI TRẢ NGƯỜI BÁN a) Phải trả bán hạn Phải trả các bên liên quan ngắn ngưòi,30/09/2024 22.913.482.346,Mẫu BO9 DN 31/03/2024 5.615.876.025
,,,Mẫu B09 DN
,Un r a) Phải trả người bán hạn ngắn,30/09/2024,31/03/2024
,Phải trả các bên liên quan,22.913.482.346,5.615.876.025
,Phải trả các nhà cung cấp khác,70.775.881.890,98.203.251.189
,,93.689.364.236,103.819.127.214
,THUE / A CAC KIUAN FIAI FYF NIA PUUC,,
,AeIIl CII[ [iel pIU IUC UJ,,
,UILFTINFnAI LKA,30/09,31/03/2024
,a) Ngắn han,VND,VND
,Lãi vav phải trà,8.082.256.481,5.774.702.707
,Chi phí vân hành tòa nhà,1 933 304 490,7 336 361 551
,Chi phí văn phòng,181.528.668,4.523.913.96[
,DURITR R VH,10.197.089.639,17.634.978.219
,nArAIA AnA C,30/09,31/03/20
,,VND,VND
,a) Ngắn hạn,,
,Kinh phí đoàn công,74.091.393,108.764.104
,Kinh phí đoàn công,74.091.393,108.764.104
,NIII pnl Cong aOanl,"14,uy [.999",TUo 70+.[04 0 022 n00
,"Nhận ký quỹ, ký cược ngăn hạn",676.000.000,9.233.008.010
,Lãi vay phải trả,9.302.051.795,8.616.736.451
,Lal vay phal tra,9.3u2.03[./93,8.616./36.43[
,"Cổ tức, lợi nhuận phải trả",1.663.283.739,1.721.282.550
,"Cu [UC, IỌI nlnluạl PlldL la",1.005.285./ 99,2.2o2.Jju
,Các khoản phải trả ngăn hạn khác,1.278.092.036,1.410.181.562
,,12.993.518.963,21.089.972.677
,b) Dàihan,12.993.518.963,21.089.972.677
,b) Dài hạn,,
,"Nhận ký quỹ, ký cược dài hạn",41.810.206.096,28.735.831.746
,Nhạn Ky quy; Ky cược dal hạn,41.810.206.096 41.810.206.096,28.735.831.746 28.735.831.746
15,DOANH THU CHƯA THỰC HIỆN,41.810.206.096,28.735.831.746
15,DOANH THU CHUA THUC HIẸN,30/09/2024,31/03/2024
,,3u/u9i 2u24 VND,Si/u5/2u24 VNI
,a) Ngắn han,VND,
,a) Ngắn hạn,,
,Doanh thu cho thuê văn phòng nhận truớc,3.657.124.065 7ao,3.731.737.784 o  704
16,VÓN CHỦ SỞ HỮU,3.657.124.065,3.731.737.784
,Xem chi tiết phụ lục 04,,
,TỎNG DOANH THU BÁN HÀNG VÀ CUNG CÁP DỊCH VỤ,,
,,IU UI/U4/ 2u24 đến 30/09/2024,TU UI/U4/ 2UZ_ đến 30/09/2022
,,121 152 J06 722,106 430 024 1Q4
,DOann lnu cung Cap U!cI,"zi,192.2y0. | 22 191 15) J06 797","1uO.,439,92+,104 106 420 094 194"
,,121.152.296.722,106.439.924.184
18,GIÁ VÓN HÀNG BÁN,Từ 01/04/2024,Từ 01/04/202
,,đến 30/09/2024,đến 30/09/2022
,,VND,VNC
,Giá vốn của   dịch vụ đã cung cấp,51.189.011.195,49.922.651.802
,,51.189.011.195,49.922.651.802
