0,1,2,3
,TIẺN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIÈN,30/09/2024 s,Mẫu B09 DN 31/03/202 hri
,,,Mẫu B09 DN
,NilA YA CAC RnUAA NUUPU DUUAU ILA,30/09/2024,31/03/202
,,VND,VNL
,Tiên mặt,2.893.736.977,2.415.376.901
,Tiên gửi ngân hàng,23.486.391.314,9.984.063.493
,Các khoản tưong đuơng tiền,30.000.000.000 56.380.128.291,12.399.440.394
2.1,CÁC KHOẢN ĐẦU TƯ TÀI CHÍNH Đầu tư tài chính ngắn hạn,"u,Jou,120,2y1","12 0yy4440,0)4"
2.1,Đâu tư tài chính ngẳn hạn,,
,,30/09/2024,31/03/2024
,,VND,
,"Tiền gửi, chứng chi tiền gửi có kỳ hạn, các khoản ĐT nẳm đến ngày đáo han giữ",VND 150.000.000.000,VNL 182.000.000.000
,"b4 Cnunb 6u1 Ilc4l, CacKnUan U[ nlaill glu UcII Ilg1) Udu Ildl Tổng công",1Ju.UUU.UUU.UUU 150 00,1o2.UUU.UUU.UUU 182 000
,"84 7u78 641 nicUI , cac MnU4n nlain b4 uci nlb9) uqu nlcl cộng Tổng","Ju.UUU .UUU,UUU 150.000.000.000",To2.UUU.UUU.UUU 182.000.000.000
,,,
,bau (Ư tal chinn aal han,,
,ACIII CIl tiel pnụ IUC U [ PHẢI THU NGẮN HẠN CỦA KHÁCH HÀNG,,
,,30/09/2024,31/03/2024
,,VND,VND
,Phải thu các bên liên quan,85.032.067.141,79.886.061.303
,Phải thu các khách khác hàng ,932.870.238,9.032.550.099
,Pha1 thu cac khach hang khac,932.870.238,9.032.550.099
,,85.964.937.379,88.918.611.402
,,85.964.937.379,88.918.611.402
,TRẢ TRƯỚC CHO NGƯỜI BÁN NGẮN HẠN,30/09/2024,31/03/2024
,,VNT,
,,VND,VND
,Trà trước cho bán khác nguời,9.228.491.672,13.365.394.928
,Fd lTUUC CII0 IgU01 Oal Kllác JLs 1i8,9.228.491.6/2,13.363.594.928 299 Ann
,Trả truớc cho các bên liên quan,,523.400.000
,Pra CluuC Cnu Cac UCII IICIL qual,9.228.491.672,J29.4uu.UUU 13.888.794.928
5,PHẢI THU NGẮN HẠN KHÁC,9.228.491.672,13.888.794.928
,PHẢITHU NGẮN HẠN KHÁC,7/00/709,71/02/909
,,30/09/2024,31/03/2024
,,VND,VND
,Dh,947 251 121 (oc,99(
,a) Fhal [nu Cac den nien quan,"24/.391,131.696",226.393.818.566
,Phải thu về cổ tức và lợi nhuận,218.573.272.276,215.180.000.000
,Y4 [0I,210.9 / 9.21 2.27u 90 777 050 490,"2lo,[ou.UUU.UUU 9 1 9 0L@"
,Các khoản chi hộ và dịch vụ khác,28.777.859.420,11.213.818.566
,"b) Phải thu các tổ chức, cá nhân khác",34.811.909.335,32.463.598.281
,Tạm ứng,26.587.002.665,24.186.669.422
,Lãi tiền gửi có kỳ hạn dự thu,8.169.270.220,1.767.262.030
,Các khoản phải thu ngắn hạn khác,55.636.450,6.509.666.829
,cộng Dre^erni Tổng,282.163.041.031,258.857.416.847
,,30/09/2024,31/03/2024
,,VND,VND
,Xây dựng cơ bản,858.591.785.287,761.970.466.552
,Dự án: Không gian sáng tạo CMC tại Tp HCM CCS) Tòa B,241.254.198.873,159.341.909.836
,Dự án Starlake,608.613.732.522,597.752.716.678
,Dự án Khác,8.723.853.892,4.875.840.038
,cộng Tông,858.591.785.287,761.970.466.552
