0,1,2,3,4,5
,VND,VND,VND,VND,VND
Năm trước,,,,,
dư đầu năm,1.505.960.320.000,331.216.950.400,,223.871.694.385,2.061.048.964.785
nhuận thuần trong năm,,,,258.910.593.817,258.910.593.817
ch Quỹ Phúc lợi thưởng,,,,(17.461.436.515),(17.461.436.515
ch Quỹ PTKHCN,,,,(24.826.795.644),(24.826.795.644
y ESOP dã phát hành,(181.000.000),,,,(181.000.000
1g vốn từ thặng dư vốn cổ phần,304.154.410.000,(304.154.410.000),,,
ia cổ tức tiền bằng,,,,"(90.346.759.200,00)",90.346.759.200)
Id Cu [UC Udnlg Cu pIlcU,90.336.230.000,,,(90.336.230.000),
dư tại ngày 31/03/2024,1.900.269.960.000,27.062.540.400,,259.811.066.843,2.187.143.567.243
Năm nay,,,,,
dư đầu năm,1.900.269.960.000,27.062.540.400,,259.811.066.843,2.187.143.567.243
I(lỗ) trong kỳ này,,,,90.569.614.483,90.569.614.483
ch Quỹ PTKHCN,,,,(25.891.059.382),(25.891.059.382
ch Quỹ KTPL,,,,(20.712.847.505),(20.712.847.505
it hành cổ phiếu thưởng,4.123.000.000,,,,4.123.000.000
hồi ESOP đã phát hành,,,(418.000.000),,(418.000.000)
,1.904.392.960.000,27.062.540.400,(418.000.000),303.776.774.439,2.234.814.274.839
