0,1,2,3,4
,BẢNG CÂ Tại ngày,NĐỐI KẾ 0 09 năn tháng,TOÁN 2024,Mẫu B01 DN
,Tại ngày,0 09 năn tháng,2024,
Mã,TÀI SẢN,Thuyết,30/09/2024,31/03/202
So,,minh,VND,VND
100,TÀI SẢN NGẮN HẠN,,586.022.760.363,566.824.466.792
110,1 Tiên và các khoản tương đương tiền,,56.380.128.291,12.399.440.394
,1. Tiên,,26.380.128.291,12.399.440.394
112,2. Các khoản tương đương tiên,,30.000.000.000,
120,II. Các khoản đầu tư tài chính hạn ngắn,,150.000.000.000,182.000.000.000
123,3. Đầu tư nẳm giữ đến ngày dáo hạn,,150.000.000.000,182.000.000.000
130,III. Các khoản phải thu ngắn hạn,,375.542.095.805,369.850.448.899
131,1. Phải thu ngẳn hạn của khách hàng,,85.964.937.379,88.918.611.402
132,2 Trả trước cho nguời bán hạn ngăn,,9.228.491.672,13.888.794.928
135,5. Phải thu về cho ngắn hạn vay,,8.650.000.000,18.650.000.000
136,6. Phải thu ngẳn hạn khác,,282.163.041.031,258.857.416.847
137,7. Dự phòng thu ngẳn hạn khó đòi phải,,(10.464.374.277),(10.464.374.278)
150,V. Tài sản ngắn hạn khác,,4.100.536.267,2.574.577.499
151,1. Chi phí trả trước ngắn hạn,,1.016.098.302,803.740.308
152,Thuê GIGI đuợc khâu trừ,,3.084.437.965,1.770.837.191
200,B. TÀI SẢN DÀI HẠN,,2.746.661.121.307,2.631.679.362.887
200,B. TÀI SẢN DÀI HẠN,,2.746.661.121.307,2.631.679.362.887
,Các khoản phải thu dài han,,0oo,onn
210,L Các khoản phải thu dài hạn,,5.000.000.000,5.000.000.000
216,6. Phải thu dài hạn khác,,JuuuuuUuuu 5.000.000.000,"Juuu,uuuuuU 5.000.000.000"
216,6. Phải thu dài hạn khác,,5.000.000.000,5.000.000.000
29,,,,
220,IL. Tài sản cố định,,628.669.920.982,650.234.636.019
02 !,,,"702o,uuy,92u.y02 00",09u.294.0j0.019
221,Tài sản cố định hữu hình,,625.517.878.829,646.599.258.124
,1al san cO alnn nưu hinn,,625.517.878.829,646.599.258.124
222,Nguyên giá,,913.546.039.136,911.749.870.163
223,Giá trị mòn lũy kế hao,,(288.028.160.307),(265.150.612.039)
227,3. Tài sàn cố định vô hình,,3.152.042.153,3.635.377.895
228,Nguyên giá,,26.808.529.204,26.808.529.204
229,Giá trị hao mòn lũy kế,,(23.656.487.051),(23.173.151.309)
240,IV. Tài sản dở dang dài hạn,,858.591.785.287,761.970.466.552
242,2. Chi phí xây cơ bản dở dung dang,,858.591.785.287,761.970.466.552
250,V.Đầu tư tài chính dài hạn,,1.177.998.096.636,1.136.089.155.063
251,1. Đầu tư vào ty con công,,1.330.851.401.467,1.265.851.401.467
252,"2. Đầu tu vào ty liên doanh, liên kết công",,7.258.356.000,7.258.356.000
254,4. Dự phòng đầu tư tài chính dài hạn,,(160.111.660.831),(137.020.602.404)
260,VI. Tài sản dài hạn khác,,76.401.318.402,78.385.105.253
261,1. Chi phí trả trước dài hạn,,76.401.318.402,78.385.105.253
270,TỔNG CỘNG TÀISẢN,,3.332.683.881.670,3.198.503.829.679
