0,1,2
Chi nhánh ty Cổ Tập đoàn CMC tại Thành HCM phân Công Công nghệ phố,Quận 5 Thành HCM phố,"nghệ thông tin, viễn và kinh doanh diện tử Công thông"
Chi nhánh ty Cổ phẩn Tập doàn Công,Quận 5 Thành phố HCM,"nghê thông tin , viễn thông và kinh Công"
Công nghệ CMC tại Thành HCM phố,,doanh diện tử
"Thông tin về các ty con, ty công công","iên doanh, liên kết của ty Công",
ty con trực tiếp [Công,Địa chỉ,Hoạt động kinh doanh chính
ty TNHH ty và Giải pháp CMC Tỗng Công Công Công nghệ,16 Tòa nhà CMC Tower Tầng,cấp các giải pháp về CNTT Cung
ty Cổ Hạ tầng Viễn CMC phần Công thông,11 Tòa nhà CMC Tower Tầng,Thiết lập hạ mạng và cung cấp dịch vụ viễn cố định và internet. tầng thông
Viện cứu dụng CMC Ứng nghiên Công nghệ,Tòa nhà CMC Tower Tầng,Nghiên cứu khoa học và phát triển nghệ trong lĩnh vực nghệ tin và viễn công công thông thông
ty TNHH CMC Global Công,Tòa nhà CMC Tower Tầng ',Xuất bản mềm; lập trinh máy tính và cung cấp dịch vụ công nghệ thông tin phần
