0,1,2,3,4
,Giá gốc,Dự phòng,Giá gôc,Dự phòng
,VND,VND,VND,VND
Đâu tư vào ty con công,1.330.851.401.467,(160.111.660.831),1.265.851.401.467,(137.020.602.404)
ty TNHH ty nghệ và Giải pháp CMC Tổng Công Công Công,310.000.000.000,,310.000.000.000,
ty TNHH An ninh An toàn Thông tin CMC Công,50.000.000.000,(40.000.000.000),40.000.000.000,(40.000.000.000)
ty TNHH CMC Blue France Công,5.364.536.000,(5.364.536.000),5.364.536.000,(5.364.536.000)
ty Cổ Hạ Viễn CMC phần tầng ~ Công thông,284.223.784.352,,284.223.784.352,
Viện nghiên cứu dụng nghệ CMC Ứng= Công,5.000.000.000,,5.000.000.000,
ty Cổ Ciber -Consulting phần Công,40.030.983.260,(18.024.399.971),40.030.983.260,(18.024.399.971)
ty TNHH CMC Global Công,200.000.000.000,,200.000.000.000,
ty TNHH CMC Đà Nẵng Công,100.000.000.000,(1.725.018.889),100.000.000.000,(1.725.018.889
ty TNHH CMC Education Công,281.232.097.855,(94.997.705.971),281.232.097.855,(71.906.647.544)
ty TNHH Hạ số CMC AI tầng= Công,55.000.000.000,,,
"Đầu tư vào ty liên doanh, liên kết công",7.258.356.000,,7.258.356.000,
ty Cổ NetNam phần công ',7.258.356.000,,7.258.356.000,
cộng [Tổng,1.338.109.757.467,(160.111.660.831),1.273.109.757.467,(137.020.602.404)
