0,1,2,3
VND,VND,VND,VND
,2.559.047.847,2.264.398.819,294.649.028
,887.931.890,347.702.345,540.229.545
294.968.602,2.374.536.788,2.078.913.363,590.592.027
294.968.602,5.821.516.525,4.691.014.527,1.425.470.600
